Team,1st_downs_made_Pen,1st_downs_made_Total,1st_downs_made_Rush,1st_downs_made_Pass,Opp_1st_downs_made_Total,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass,Opp_1st_downs_made_Pen
BC,7,94,28,59,63,23,32,8
CGY,1,56,22,33,63,25,35,3
EDM,7,53,15,31,88,38,43,7
HAM,3,49,13,33,65,23,35,7
MTL,3,46,16,27,51,13,33,5
OTT,5,47,16,26,47,16,29,2
SSK,3,65,23,39,58,21,34,3
TOR,8,69,33,28,59,14,41,4
WPG,7,87,31,49,72,24,43,5
CFL,44,566,197,325,566,197,325,44
