Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,34,1,333,4,35,8.8,10,11,12,6,0,5,1
CGY,22,2,199,3,24,8.0,6,9,9,1,2,4,2
EDM,29,8,300,4,37,9.3,11,17,9,5,1,0,3
HAM,28,2,283,3,30,10.0,8,10,12,3,3,5,1
MTL,21,3,229,3,24,8.0,7,9,8,0,0,6,2
OTT,13,3,131,3,16,5.3,6,3,7,2,2,3,0
SSK,16,2,170,3,18,6.0,6,6,6,3,0,2,1
TOR,27,0,300,3,27,9.0,15,6,6,1,2,2,1
WPG,19,4,211,4,23,5.8,12,6,5,2,0,3,0
CFL,209,25,"2,156",2023,234,15.6,81,77,74,23,10,30,11
