Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,5,+4,9,2,4,1,0,2,1,1,1,2,0
CGY,9,-1,8,1,6,0,1,0,1,4,1,1,2
EDM,15,-7,8,2,3,2,1,0,4,8,2,1,0
HAM,12,-6,6,0,5,0,1,0,2,8,1,1,0
MTL,6,+5,11,1,9,1,0,0,1,5,0,0,0
OTT,9,-1,8,2,4,2,0,0,1,8,0,0,0
SSK,8,+2,10,2,6,0,2,0,1,5,1,1,0
TOR,6,+1,7,1,5,1,0,0,0,3,2,1,0
WPG,11,+3,14,2,8,1,3,0,2,8,0,1,0
CFL,81,0,81,13,50,8,8,2,13,50,8,8,2
