Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,3,17,225,13.2,91,1,1,14,303,21.6,43,0,2,1,20,20,0,0,1,0,0,1
CGY,4,21,212,10.1,79,1,1,11,281,25.5,42,0,1,2,82,48,0,2,1,0,0,1
EDM,3,26,317,12.2,44,0,2,10,149,14.9,62,0,1,0,0,0,0,0,0,0,0,0
HAM,2,18,186,10.3,77,1,1,10,191,19.1,43,0,1,0,0,0,0,0,1,0,0,1
MTL,0,17,150,8.8,18,0,0,11,232,21.1,30,0,0,1,27,27,0,0,0,0,0,0
OTT,0,17,87,5.1,23,0,0,8,104,13.0,25,0,0,1,24,24,0,0,0,0,0,0
SSK,2,13,220,16.9,92,1,1,11,209,19.0,41,0,1,2,66,41,0,0,1,0,0,1
TOR,3,14,192,13.7,52,0,2,18,472,26.2,72,0,1,0,0,0,0,0,0,0,0,0
WPG,1,14,131,9.4,17,0,0,18,417,23.2,40,0,1,0,0,0,0,0,0,0,0,0
CFL,18,157,"1,720",11.0,92,4,8,111,"2,358",21.2,72,0,8,7,219,48,0,2,4,0,0,4
