Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,72.1,65.2,38.5,358,182,50.8,61,44,89,58,208,80,"2,816",7.87
CGY,77.5,38.4,33.3,367,162,44.1,80,62,86,33,201,67,"2,723",7.42
EDM,68.6,55.6,32.4,336,155,46.1,70,48,90,50,176,57,"2,505",7.46
HAM,66.1,54.7,42.6,389,191,49.1,59,39,95,52,235,100,"2,986",7.68
MTL,74.7,48.4,35.8,367,172,46.9,75,56,91,44,201,72,"2,682",7.31
OTT,72.2,48.8,33.0,374,165,44.1,72,52,84,41,218,72,"2,749",7.35
SSK,64.7,46.5,35.5,382,165,43.2,68,44,86,40,228,81,"2,930",7.67
TOR,74.0,54.5,37.2,317,160,50.5,73,54,88,48,156,58,"2,278",7.19
WPG,81.7,62.1,38.9,352,196,55.7,82,67,103,64,167,65,"2,276",6.47
CFL,72.8,53.0,36.4,"3,242","1,548",47.7,640,466,812,430,"1,790",652,"23,945",7.39
