,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,374,171,45.7,74,55,74.3,91,43,47.3,209,73,34.9,"2,834",7.58
,CGY,345,161,46.7,79,61,77.2,95,55,57.9,171,45,26.3,"2,502",7.25
,EDM,377,197,52.3,73,56,76.7,106,64,60.4,198,77,38.9,"2,618",6.94
,HAM,351,177,50.4,75,56,74.7,77,43,55.8,199,78,39.2,"2,549",7.26
,MTL,375,180,48.0,77,54,70.1,98,51,52.0,200,75,37.5,"2,655",7.08
,OTT,363,178,49.0,67,46,68.7,95,45,47.4,201,87,43.3,"2,705",7.45
,SSK,360,175,48.6,71,54,76.1,88,47,53.4,201,74,36.8,"2,647",7.35
,TOR,368,167,45.4,75,48,64.0,77,41,53.2,216,78,36.1,"2,852",7.75
,WPG,329,142,43.2,49,36,73.5,85,41,48.2,195,65,33.3,"2,583",7.85
,CFL,"3,242","1,548",47.7,640,466,72.8,812,430,53.0,"1,790",652,36.4,"23,945",7.39
