Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,107.3,23,120.0,297,244,82.2,"2,222",0,5,143,88,61.5,"1,448",12,6,74.6,140,58,41.4,"1,761",8
CGY,83.6,7,100.5,373,269,72.1,"2,194",6,4,104,54,51.9,829,6,5,70.6,72,27,37.5,"1,001",4
EDM,90.0,11,135.5,293,214,73.0,"1,821",8,11,89,42,47.2,721,5,0,51.8,64,31,48.4,"1,150",6
HAM,91.5,10,86.5,349,264,75.6,"2,332",10,11,107,64,59.8,"1,113",4,2,85.9,102,40,39.2,"1,266",8
MTL,99.0,8,80.6,327,268,82.0,"2,344",5,5,99,55,55.6,"1,020",2,3,93.0,69,28,40.6,"1,000",9
OTT,92.7,3,8.2,303,228,75.2,"2,009",3,4,105,67,63.8,"1,058",4,1,84.5,53,12,22.6,398,8
SSK,88.5,8,65.0,363,278,76.6,"2,186",7,6,130,84,64.6,"1,508",2,4,108.1,93,27,29.0,924,7
TOR,98.0,13,128.5,224,173,77.2,"1,599",3,5,83,50,60.2,977,3,5,106.4,83,38,45.8,"1,318",6
WPG,98.6,17,154.2,259,205,79.2,"1,841",9,12,112,68,60.7,"1,172",3,8,108.9,102,47,46.1,"1,725",3
CFL,93.8,100,102.8,"2,788","2,143",76.9,"18,548",51,63,972,572,58.8,9846,41,34,87.4,778,308,39.6,"10,543",59
