Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,17,"5,596",329.2,936,5.98,315,3,"4,408","1,574",-386,34%,66%,0%,564,54
CGY,16,"5,543",346.4,877,6.32,346,24,"3,797","2,016",-270,39%,58%,3%,468,39
EDM,17,"6,391",375.9,930,6.87,397,22,"4,312","2,304",-225,43%,55%,2%,472,39
HAM,17,"6,250",367.6,923,6.77,363,20,"4,616","1,937",-303,39%,59%,2%,502,38
MTL,17,"5,735",337.4,925,6.20,331,16,"4,145","1,892",-302,36%,62%,2%,539,39
OTT,17,"6,448",379.3,924,6.98,333,14,"5,274","1,476",-302,36%,62%,2%,534,43
SSK,17,"6,307",371.0,915,6.89,390,21,"4,541","2,025",-259,43%,55%,2%,469,35
TOR,16,"5,575",348.4,930,5.99,305,4,"4,661","1,344",-430,33%,67%,0%,558,63
WPG,16,"4,828",301.8,808,5.98,265,10,"3,722","1,447",-341,33%,66%,1%,487,46
CFL,75,"52,673",702.3,"8,168",6.45,"3,045",134,"39,476","16,015","-2,818",37%,###,2%,"4,593",396
