Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,68,718,10.6,91,1,3,67,"1,312",19.6,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,13,88,"1,033",11.7,94,4,8,49,"1,018",20.8,42,0,2,6,234,102,0,3,4,0,0,4
EDM,,11,81,990,12.2,68,0,8,53,864,16.3,62,0,2,4,166,125,1,1,0,0,1,1
HAM,,6,75,706,9.4,77,1,2,56,"1,132",20.2,49,0,3,3,47,30,0,1,1,0,0,1
MTL,,6,75,731,9.7,48,0,3,63,"1,373",21.8,42,0,1,8,178,69,0,2,0,0,0,0
OTT,,12,87,977,11.2,107,2,8,54,"1,061",19.6,50,0,1,4,282,120,1,3,2,0,1,3
SSK,,10,86,"1,093",12.7,92,2,5,49,954,19.5,43,0,3,5,205,86,0,2,2,0,0,2
TOR,,15,75,808,10.8,52,0,4,80,"2,141",26.8,93,1,10,1,60,60,0,1,0,1,0,1
WPG,,8,54,703,13.0,48,0,3,80,"1,978",24.7,62,0,4,4,110,67,0,1,0,0,0,0
CFL,304,88,689,"7,759",11.3,107,10,44,551,"11,833",21.5,93,2,30,37,"1,324",125,2,14,10,2,2,14
