Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.8,80,6,5,1,3,T5,89,"4,169",67,711,10.6,91,36.2,"3,218",(61),-145,+101,"3,113",35.0
CGY,48.0,77,5,10,4,8,4,101,"4,853",80,981,12.3,94,36.4,"3,672",(63),-145,+158,"3,622",35.9
EDM,45.6,85,8,4,0,8,9,110,"5,018",78,950,12.2,68,34.1,"3,748",(103),-235,+138,"3,548",32.3
HAM,44.4,78,2,5,1,2,T5,92,"4,088",72,678,9.4,77,36.2,"3,330",(18),-125,+70,"3,257",35.4
MTL,47.0,67,1,8,0,3,1,87,"4,092",70,693,9.9,48,38.6,"3,359",(9),-57,+44,"3,337",38.4
OTT,48.1,74,4,9,2,8,2,105,"5,051",83,940,11.3,107,37.6,"3,951",(56),-170,+88,"3,813",36.3
SSK,48.0,90,6,9,2,5,7,108,"5,184",83,"1,067",12.9,92,35.9,"3,877",(45),-146,+55,"3,741",34.6
TOR,48.3,75,7,10,0,4,3,93,"4,496",71,771,10.9,52,37.0,"3,445",(101),-75,+68,"3,337",35.9
WPG,46.4,73,2,9,0,3,8,73,"3,386",54,703,13.0,48,35.7,"2,603",(2),-70,+70,"2,601",35.6
CFL,47.0,90,41,69,10,44,,858,"40,337",658,"7,494",11.4,107,36.4,"31,203",(458),-1168,+792,"30,369",35.4
