Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,10,38,123,34 (3),9,-7,9,19,8,14,31,65
CGY,6,28,72,26 (2),8,0,6,16,8,12,28,54
EDM,11,36,82,35 (1),6,-13,6,19,5,12,23,35
HAM,11,41,101,40 (1),9,0,10,20,14,18,41,90
MTL,5,32,83,30 (2),9,+7,12,15,10,20,39,105
OTT,10,38,76,35 (3),6,+2,13,15,12,22,40,125
SSK,13,41,104,39 (2),4,-15,13,15,8,14,26,42
TOR,6,21,46,19 (2),11,+21,3,12,9,22,42,135
WPG,6,33,78,32 (1),16,+5,12,15,10,12,38,114
CFL,78,308,765,290 (17),78,2023,84,146,84,146,308,765
