Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,67,711,10.6,91,1,3,63,"1,248",19.8,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,13,80,981,12.3,94,4,8,45,945,21.0,42,0,2,5,212,102,0,3,4,0,0,4
EDM,,10,78,950,12.2,68,0,8,49,806,16.4,62,0,2,3,41,29,0,0,0,0,0,0
HAM,,5,72,678,9.4,77,1,2,51,994,19.5,43,0,2,3,47,30,0,1,1,0,0,1
MTL,,6,70,693,9.9,48,0,3,58,"1,256",21.7,42,0,1,8,178,69,0,2,0,0,0,0
OTT,,12,83,940,11.3,107,2,8,51,999,19.6,50,0,1,4,282,120,1,3,2,0,1,3
SSK,,10,83,"1,067",12.9,92,2,5,46,909,19.8,43,0,3,5,205,86,0,2,2,0,0,2
TOR,,14,71,771,10.9,52,0,4,76,"1,976",26.0,79,0,9,1,60,60,0,1,0,0,0,0
WPG,,8,54,703,13.0,48,0,3,80,"1,978",24.7,62,0,4,4,110,67,0,1,0,0,0,0
CFL,290,85,658,"7,494",11.4,107,10,44,519,"11,111",21.4,82,1,28,35,"1,177",120,1,13,10,1,1,12
