TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,209 66%,46,27,58.7,14,4,1,223,69%,45,23,51.1,16,6,0
CGY,180 69%,39,18,46.2,16,5,0,173,63%,37,20,54.1,14,3,0
EDM,257 69%,30,19,63.3,7,4,0,152,72%,53,28,52.8,20,2,3
HAM,239 68%,50,27,54.0,19,4,0,244,70%,50,28,56.0,14,7,1
MTL,214 64%,41,21,51.2,13,7,0,185,64%,48,24,50.0,16,8,0
OTT,256 72%,44,20,45.5,14,8,2,184,60%,51,31,60.8,17,3,0
SSK,247 75%,43,21,48.8,16,6,0,195,65%,47,29,61.7,14,4,0
TOR,190 70%,52,35,67.3,13,3,1,285,78%,39,23,59.0,10,5,1
WPG,162 63%,62,36,58.1,20,5,1,313,72%,37,18,48.6,11,8,0
CFL,"1,954 69%",407,224,55.0,132,46,5,"1,954",69%,407,224,55.0,132,46,5
