Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,105.2,22,125.1,280,229,81.8,"2,031",0,4,132,79,59.8,"1,306",12,6,70.5,134,57,42.5,"1,756",7
CGY,83.7,7,101.4,352,255,72.4,"2,079",6,4,99,52,52.5,797,6,4,67.6,69,26,37.7,964,4
EDM,87.1,11,139.9,273,198,72.5,"1,691",8,9,81,37,45.7,635,5,0,47.1,62,31,50.0,"1,150",6
HAM,90.3,9,84.6,325,244,75.1,"2,177",9,9,103,61,59.2,"1,036",4,2,83.6,92,36,39.1,"1,183",8
MTL,98.1,8,80.6,307,251,81.8,"2,231",5,4,90,49,54.4,875,1,3,94.4,69,28,40.6,"1,000",9
OTT,92.7,3,8.2,303,228,75.2,"2,009",3,4,105,67,63.8,"1,058",4,1,84.5,53,12,22.6,398,8
SSK,89.9,8,61.5,340,261,76.8,"2,062",6,6,122,80,65.6,"1,427",2,4,109.6,91,25,27.5,857,7
TOR,98.0,13,128.5,224,173,77.2,"1,599",3,5,83,50,60.2,977,3,5,106.4,83,38,45.8,"1,318",6
WPG,98.6,17,154.2,259,205,79.2,"1,841",9,12,112,68,60.7,"1,172",3,8,108.9,102,47,46.1,"1,725",3
CFL,93.2,98,103.6,"2,663","2,044",76.8,"17,720",49,57,927,543,58.6,9283,40,33,86.5,755,300,39.7,"10,351",58
