Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,16,"6,060",378.8,2,883,6.86,272,19,"5,093","1,303",-336,31%,67%,2%,546,46
CGY,15,"5,029",335.3,6,843,5.97,288,5,"3,840","1,427",-238,34%,65%,1%,520,30
EDM,16,"5,195",324.7,8,799,6.50,332,8,"3,476","2,018",-299,42%,57%,1%,416,43
HAM,16,"5,693",355.8,4,883,6.45,307,14,"4,396","1,553",-256,35%,64%,2%,520,42
MTL,16,"5,351",334.4,7,855,6.26,316,18,"4,106","1,628",-383,37%,61%,2%,466,55
OTT,16,"5,039",314.9,9,907,5.56,370,17,"3,465","2,022",-448,41%,57%,2%,461,59
SSK,16,"5,409",338.1,5,908,5.96,298,7,"4,346","1,356",-293,33%,66%,1%,553,50
TOR,15,"5,470",364.7,3,746,7.33,326,16,"3,894","1,691",-115,44%,54%,2%,390,14
WPG,16,"6,629",414.3,1,905,7.32,377,23,"4,738","2,176",-285,42%,56%,3%,473,32
CFL,71,"49,875",702.5,,"7,729",6.45,"2,886",127,"37,354","15,174","-2,653",37%,###,2%,"4,345",371
