Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,48,45,93.75,24,24,100.0,24,21,87.5,4,2,"1,541",34.2,"1,692",35.3
CGY,53,0,Made 74,54,47,87.03703703703704,26,25,96.2,28,22,78.6,7,6,"1,720",36.6,"2,040",37.8
EDM,46,3,% 91%,27,22,81.48148148148148,14,13,92.9,13,9,69.2,1,0,705,32.0,922,34.1
HAM,50,3,,43,37,86.04651162790698,34,33,97.1,9,4,44.4,3,1,"1,084",29.3,"1,364",31.7
MTL,51,4,,52,39,75.0,26,22,84.6,26,17,65.4,4,3,"1,320",33.8,"1,881",36.2
OTT,54,2,,44,37,84.0909090909091,22,21,95.5,22,16,72.7,11,8,"1,291",34.9,"1,613",36.7
SSK,54,2,,41,34,82.92682926829268,26,24,92.3,15,10,66.7,7,3,"1,067",31.4,"1,385",33.8
TOR,51,1,,31,29,93.5483870967742,22,22,100.0,9,7,77.8,2,1,938,32.3,"1,029",33.2
WPG,53,0,,45,41,91.11111111111111,28,29,103.6,16,12,75.0,5,3,"1,267",31.7,"1,512",33.6
CFL,54,15,,385,331,85.97402597402596,222,213,95.9,162,118,72.8,44,27,"10,933",33.1,"13,438",34.9
