Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,34,89,12,18%,224,41,45,38,4,130,27,30,4,14,3,10,1,2,2,66,29%
CGY,7,26,101,6,12%,212,25,47,29,2,122,12,32,3,13,4,14,4,2,0,72,34%
EDM,5,35,110,9,15%,213,32,22,26,3,133,19,36,7,12,2,6,1,0,0,69,32%
HAM,6,40,91,12,14%,217,31,37,40,3,114,17,34,6,19,4,8,0,2,1,74,34%
MTL,12,30,87,12,14%,209,29,39,40,4,103,13,44,8,12,2,8,2,2,0,63,30%
OTT,7,35,105,17,13%,230,29,37,39,1,130,15,38,4,9,4,10,4,4,1,85,37%
SSK,7,39,108,10,13%,228,30,34,33,3,129,15,40,5,13,1,12,5,1,1,76,33%
TOR,2,19,93,12,24%,203,48,29,26,2,94,21,40,6,20,6,20,11,3,2,68,33%
WPG,5,32,73,13,25%,217,54,40,24,5,129,27,36,11,16,5,11,6,1,0,66,30%
CFL,54,290,857,103,,"1,953",319,330,295,27,1084,166,330,54,128,31,99,34,17,7,639,33%
