Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,29,107,8,13%,223,30,40,9,28,5,120,11,47,6,18,4,8,4,2,0,70,31%
CGY,25,94,14,16%,207,34,36,4,32,3,117,16,33,7,14,4,7,2,4,2,69,33%
EDM,22,87,13,19%,212,40,42,8,39,1,111,20,37,9,13,4,11,5,1,1,68,32%
HAM,37,87,13,18%,218,39,35,7,30,2,112,23,45,7,13,0,16,6,2,1,61,28%
MTL,38,93,10,15%,216,33,37,5,34,3,129,15,28,4,12,4,12,5,1,0,72,33%
OTT,38,97,7,19%,223,42,33,6,35,3,118,23,42,9,16,3,10,4,2,0,68,30%
SSK,23,95,15,20%,226,46,43,4,31,5,128,27,35,5,15,4,14,4,3,1,68,30%
TOR,40,97,12,15%,212,31,27,5,37,2,135,18,20,5,11,4,9,2,0,0,76,36%
WPG,38,100,11,11%,216,24,37,6,31,3,114,13,44,2,13,2,12,2,2,2,87,40%
CFL,290,857,103,,"1,953",319,330,54,297,27,1084,166,331,54,125,29,99,34,17,7,639,33%
