Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,355,265,74.6,2256,7,4,86.3,100,60,60.0,973,2,6,104.3,71,23,32.4,864,5,5,73.9
CGY,281,222,79.0,1873,2,6,99.8,86,41,47.7,676,7,3,52.3,68,24,35.3,976,3,14,141.5
EDM,248,190,76.6,1542,3,8,97.5,109,71,65.1,1303,4,3,100.1,86,40,46.5,1209,5,10,114.0
HAM,270,203,75.2,1962,5,6,94.7,118,69,58.5,1178,4,5,92.4,80,34,42.5,1138,9,9,87.4
MTL,333,246,73.9,2018,9,3,80.6,89,48,53.9,769,5,1,63.4,87,36,41.4,1142,6,11,104.7
OTT,293,236,80.5,2279,6,11,105.6,121,71,58.7,1216,6,3,80.5,87,39,44.8,1469,10,14,115.5
SSK,243,190,78.2,1821,5,7,99.5,95,61,64.2,1100,3,6,111.7,102,41,40.2,1436,6,16,122.0
TOR,354,287,81.1,2297,6,7,96.2,94,60,63.8,1051,6,5,93.0,88,35,39.8,1084,10,14,92.2
WPG,286,205,71.7,1672,6,5,83.3,115,62,53.9,1017,3,1,75.9,86,28,32.6,1033,4,5,79.3
CFL,"2,663","2,044",76.8,"17,720",49,57,93.2,927,543,58.6,9283,40,33,86.5,755,300,39.7,"10,351",58,98,103.6
